Ticker,Date,Close,High,Low,Open,Interval
005930.KS,2014-09-22,17911.0,18198.1805907173,17245.950210970466,18198.1805907173,1wk
005930.KS,2014-09-29,17245.953125,18137.72458369851,17245.953125,18031.921190293604,1wk
005930.KS,2014-10-06,16701.826171875,17926.122931985294,16611.13752297794,17306.41716452206,1wk
005930.KS,2014-10-13,16459.9765625,17321.51803546832,16293.714172979799,16354.173223714417,1wk
005930.KS,2014-10-20,16807.625,16883.198853417267,16339.067108812951,16852.96931205036,1wk
005930.KS,2014-10-27,18802.7734375,18893.462055365755,16414.639833701767,16641.361378366157,1wk
005930.KS,2014-11-03,18228.412109375,18923.691509898425,18031.92010487925,18893.461970745233,1wk
005930.KS,2014-11-10,18047.033203125,19180.64081638662,17835.426448649498,18530.70578478329,1wk
005930.KS,2014-11-17,18485.3671875,18712.08878015127,17865.66150091987,17986.579683667213,1wk
005930.KS,2014-11-24,19452.7109375,19664.317738684927,17865.659928613055,18848.120076971638,1wk
005930.KS,2014-12-01,19679.43359375,19860.810861895163,19135.301789314515,19558.51541498656,1wk
005930.KS,2014-12-08,19437.591796875,20510.74033309438,19256.21457948581,19694.54285484302,1wk
005930.KS,2014-12-15,20072.41796875,20072.41796875,18923.695253670932,19346.90888554217,1wk
005930.KS,2014-12-22,20435.169921875,20480.514233831822,19921.26771969767,20329.366527309077,1wk
005930.KS,2014-12-29,20396.830078125,20657.541440025845,20258.8064159422,20626.869515096336,1wk
005930.KS,2015-01-05,20151.455078125,20534.854147343514,19660.704269525304,20488.84625903729,1wk
005930.KS,2015-01-12,20182.12890625,20780.23151061455,19936.753478818388,20136.12101360657,1wk
005930.KS,2015-01-19,21255.638671875,21470.34209280303,20243.465401785714,20381.48902952516,1wk
005930.KS,2015-01-26,20933.58984375,21470.348557692305,20810.90213770604,21086.949476304944,1wk
005930.KS,2015-02-02,21040.9375,21178.961142492713,20488.842930029154,20933.585778061224,1wk
005930.KS,2015-02-09,20872.248046875,21470.350672759,20412.169103887307,20856.912082108745,1wk
005930.KS,2015-02-16,21117.619140625,21117.619140625,20872.24375482253,20979.59548611111,1wk
005930.KS,2015-02-23,20810.8984375,21316.985134948416,20810.8984375,21132.953608603537,1wk
005930.KS,2015-03-02,22114.455078125,22221.806801805218,20964.25803869409,21086.945722900055,1wk
005930.KS,2015-03-09,22344.498046875,22681.889232208734,21746.395491056108,22083.786676389842,1wk
005930.KS,2015-03-16,22451.849609375,23157.303900379953,22313.8259437436,22359.833832287397,1wk
005930.KS,2015-03-23,21792.408203125,22819.917949507388,21700.392404941504,22421.182824045565,1wk
005930.KS,2015-03-30,21991.77734375,22267.824758106693,21654.386059536264,21853.75363657165,1wk
005930.KS,2015-04-06,22850.5859375,22911.929792365772,22007.107933095638,22129.795642827183,1wk
005930.KS,2015-04-13,22237.146484375,22865.920971174568,21884.419333243535,22681.889414062498,1wk
005930.KS,2015-04-20,21623.708984375,22589.874704953458,21470.349346187944,22175.803681848403,1wk
005930.KS,2015-04-27,21623.708984375,21746.396694924646,20841.57482962101,21623.708984375,1wk
005930.KS,2015-05-04,20519.521484375,21823.07852934651,20519.521484375,21577.703085587164,1wk
005930.KS,2015-05-11,20335.48828125,20856.91105769231,20258.808461184955,20856.91105769231,1wk
005930.KS,2015-05-18,20703.548828125,21040.939994212964,20044.10245804398,20473.50939670139,1wk
005930.KS,2015-05-25,20044.10546875,20994.935261452756,19890.745824765687,20703.551937882556,1wk
005930.KS,2015-06-01,20565.5234375,20780.226888749068,19399.99041643363,19936.7490445563,1wk
005930.KS,2015-06-08,19584.01953125,20657.536655124313,19215.956517350234,20626.864737299333,1wk
005930.KS,2015-06-15,19415.328125,19614.695633392574,19016.59310821485,19246.63254097551,1wk
005930.KS,2015-06-22,19599.357421875,20366.15544307512,19200.62245085094,19798.724907387033,1wk
005930.KS,2015-06-29,19461.232421875,20013.759525335176,19277.056720721608,19476.580396971116,1wk
005930.KS,2015-07-06,19323.09765625,19430.533465299843,18724.526720115173,19231.009819921564,1wk
005930.KS,2015-07-13,20029.1015625,20121.189385775862,18739.87203663793,19184.963182471267,1wk
005930.KS,2015-07-20,18862.658203125,20013.756140663143,18785.91834062246,19814.232498156533,1wk
005930.KS,2015-07-27,18187.34765625,19568.665199762658,18033.86792919304,18862.658455300632,1wk
005930.KS,2015-08-03,17435.29296875,18218.039396044234,17112.98561633473,18171.99548855634,1wk
005930.KS,2015-08-10,17496.6875,18095.258388157894,17343.207785087718,17496.6875,1wk
005930.KS,2015-08-17,16898.119140625,18049.21717472752,16821.379271684833,17496.69011835831,1wk
005930.KS,2015-08-24,16591.154296875,17112.985236832217,15854.45179340599,16698.590078630896,1wk
005930.KS,2015-08-31,17327.861328125,17558.08092061559,16146.067420006642,16437.678903828055,1wk
005930.KS,2015-09-07,17112.986328125,17604.121361757287,16959.506630114913,17327.857905339126,1wk
005930.KS,2015-09-14,18264.083984375,18294.779923844537,17036.246405593487,17189.726102941175,1wk
005930.KS,2015-09-21,17066.943359375,18003.16956883712,17020.89944743424,17849.68986236792,1wk
005930.KS,2015-09-28,17174.380859375,17573.428135821603,16729.289666415327,17189.72883154602,1wk
005930.KS,2015-10-05,19491.921875,19630.053604822835,17112.986528051184,17174.378407972443,1wk
005930.KS,2015-10-12,19415.18359375,19676.099104496046,18985.44039958004,19338.44373764822,1wk
005930.KS,2015-10-19,19783.53515625,19952.362841834758,19169.616299578163,19292.400070912532,1wk
005930.KS,2015-10-26,21057.41015625,21364.36948797376,19522.613497631195,19921.660628872083,1wk
005930.KS,2015-11-02,20535.591796875,21379.730473129206,20351.416085692264,21256.946665674048,1wk
005930.KS,2015-11-09,19952.369140625,20643.028072415866,19952.369140625,20535.592238581732,1wk
005930.KS,2015-11-16,19722.146484375,19890.974197470816,19384.491058183365,19814.234327881808,1wk
005930.KS,2015-11-23,20366.7578125,20704.41317939902,19660.751136256593,19722.143021147327,1wk
005930.KS,2015-11-30,19476.576171875,20336.06259080723,19445.880228341706,20336.06259080723,1wk
005930.KS,2015-12-07,19706.796875,19875.62457408489,19369.141476830217,19476.577285338783,1wk
005930.KS,2015-12-14,19614.70703125,20105.8421055849,19261.703696571793,19537.967175885173,1wk
005930.KS,2015-12-21,19722.146484375,19952.366093142024,19353.79511034776,19614.71066695039,1wk
005930.KS,2015-12-28,19648.857421875,20101.09302920387,19352.565127418155,20038.71570405506,1wk
005930.KS,2016-01-04,18260.958984375,19648.854244502563,17949.072409065437,19648.854244502563,1wk
