Date,pct_above_20dma,pct_above_50dma,pct_above_150dma,pct_above_200dma,n_valid_200,advances,declines,unchanged,net_advances,ad_line,ad_ratio,mcclellan_osc,mcclellan_sum,breadth_thrust,new_highs,new_lows,net_hl,net_hl_10d,pct_from_52w_high_median,cap_weighted,equal_weighted,ew_minus_cw,ew_cw_ratio
2024-09-09,,,,,0,0,0,0,0,0,,,,,0,0,0,,,100.0,100.0,0.0,1.0
2024-09-10,,,,,0,266,224,4,42,42,1.1875,0.0,0.0,0.5428571428571428,0,0,0,,,100.54599229619465,100.05699375638419,-0.48899853981046704,0.9951365685628728
2024-09-11,,,,,0,240,250,4,-10,32,0.96,-5.26315789473685,-5.26315789473685,0.5332096474953617,0,0,0,,,101.73288410257,100.40931762598491,-1.3235664765850856,0.9869897871444338
2024-09-12,,,,,0,373,120,1,253,285,3.1083333333333334,16.882591093117412,11.619433198380563,0.5738246737851594,0,0,0,,,102.64180224896026,101.06046769350405,-1.581334555456209,0.9845936594953717
2024-09-13,,,,,0,415,77,2,338,623,5.3896103896103895,44.336032388663995,55.95546558704456,0.6228558121804667,0,0,0,,,103.29917378309271,102.07316323963289,-1.2260105434598216,0.9881314583789973
2024-09-16,,,,,0,380,113,1,267,890,3.3628318584070795,60.40080971659924,116.3562753036438,0.6497531327023292,0,0,0,,,103.47566537512408,102.80916325964007,-0.6665021154840076,0.993558851609528
2024-09-17,,,,,0,270,223,1,47,937,1.210762331838565,51.56698380566806,167.92325910931186,0.6311920799926672,0,0,0,,,103.53179633449273,103.06266774048238,-0.4691285940103427,0.9954687486296995
2024-09-18,,,,,0,206,283,5,-77,860,0.7279151943462897,31.205620445344152,199.128879554656,0.5930240461140971,0,0,0,,,103.26403523339232,102.89366650569409,-0.37036872769823503,0.9964133812235678
2024-09-19,,,,,0,348,144,2,204,1064,2.4166666666666665,42.081922216599224,241.21080177125523,0.6138045964880305,0,0,0,,,105.0807378789509,104.16338725600993,-0.9173506229409725,0.991270040147627
2024-09-20,,,,,0,187,302,5,-115,949,0.6192052980132451,18.883301227226724,260.09410299848196,0.5717334131146723,0,0,0,0.0,,104.99561744318434,103.88446830372686,-1.1111491394574813,0.9894171855310175
2024-09-23,,,,,0,354,134,6,220,1169,2.6417910447761193,32.86094636627027,292.9550493647522,0.5996745809239271,0,0,0,0.0,,105.28309033045021,104.41957739869696,-0.8635129317532488,0.9917981802296745
2024-09-24,,,,,0,251,240,3,11,1180,1.0458333333333334,23.493682074474975,316.4487314392272,0.5835885897246498,0,0,0,0.0,,105.55353473796032,104.59011762631786,-0.9634171116424568,0.9908727157831885
2024-09-25,,,,,0,141,351,2,-210,970,0.4017094017094017,-7.001218358013958,309.44751308121323,0.5295880035662877,0,0,0,0.0,,105.38412733787649,103.96681298921142,-1.417314348665073,0.9865509694441843
2024-09-26,,,,,0,324,170,0,154,1124,1.9058823529411764,3.802753127155981,313.2502662083692,0.5525484475258953,0,0,0,0.0,,105.78190884796719,104.8200631969036,-0.9618456510635838,0.9909072764753567
2024-09-27,,,,,0,321,170,3,151,1275,1.888235294117647,12.717491256644138,325.9677574650134,0.5709519699346289,0,0,0,0.0,,105.68109393375319,105.17778569526088,-0.5033082384923091,0.9952374808042032
2024-09-30,,,,,0,309,182,3,127,1402,1.6978021978021978,17.846855103502463,343.8146125685158,0.581565775808392,0,0,0,0.0,,106.15424914026028,105.3472842022937,-0.8069649379665833,0.9923981852398546
2024-10-01,,,,,0,164,330,0,-166,1236,0.49696969696969695,-7.512643528295328,336.3019690402205,0.5361872357828691,0,0,0,0.0,,105.25889612549804,104.7866920290119,-0.4722040964861378,0.9955138794546815
2024-10-02,,,,,0,226,266,2,-40,1196,0.849624060150376,-16.404415203593985,319.8975538366265,0.5222167553670629,0,0,0,0.0,,105.23211405322746,104.73039662567784,-0.5017174275496217,0.9952322783585261
2024-10-03,,,,,0,118,374,2,-256,940,0.3155080213903743,-45.78720608809404,274.1103477485325,0.47087505409559394,0,0,0,0.0,,105.07235019318068,104.28892925660304,-0.7834209365776417,0.9925439857856297
2024-10-04,62.75303643724696,,,,0,362,132,0,230,1170,2.742424242424242,-21.49027286309139,252.6200748854411,0.5184965937631598,0,0,0,0.0,,106.08129632584372,105.12389626608778,-0.9574000597559404,0.9909748457747429
2024-10-07,49.59514170040486,,,,0,103,386,5,-283,887,0.266839378238342,-52.5320205144756,200.08805437096552,0.46252156704808817,0,0,0,0.0,,104.9748636140975,104.27230560983224,-0.7025580042652564,0.9933073692112813
2024-10-08,53.64372469635627,,,,0,317,175,2,142,1029,1.8114285714285714,-35.79386032185291,164.2941940491126,0.49557381723742316,0,0,0,0.0,,106.04287989032018,104.68537601798529,-1.3575038723348882,0.9871985382352974
2024-10-09,59.10931174089069,,,,0,375,119,0,256,1285,3.1512605042016806,-9.765302517089708,154.5288915320229,0.5434893616925991,0,0,0,0.0,,106.6869497556573,105.44023560483899,-1.2467141508183062,0.9883142769225887
2024-10-10,52.63157894736842,,,,0,160,331,3,-171,1114,0.48338368580060426,-30.680682563213097,123.8482089688098,0.5039214014663201,0,0,0,0.0,,106.4967815189866,105.05420871616744,-1.4425728028191571,0.986454306109129
2024-10-11,64.17004048582996,,,,0,427,67,0,360,1474,6.373134328358209,5.335010181422518,129.18321915023233,0.5694579593152851,0,0,0,0.0,,107.12040509064964,106.14552241433357,-0.9748826763160707,0.9908991879232432
2024-10-14,72.46963562753037,,,,0,391,103,0,288,1762,3.796116504854369,28.81430303446632,157.99752218469865,0.609828871386779,0,0,0,0.0,,107.94497774013941,106.85829558599498,-1.0866821541444267,0.9899329994141974
2024-10-15,70.24291497975709,,,,0,234,259,1,-25,1737,0.9034749034749034,17.064864965326606,175.06238715002524,0.5852499912120852,0,0,0,0.0,,107.18985808101979,106.41914964410482,-0.7707084369149726,0.9928098753864155
2024-10-16,75.10121457489879,,,,0,358,136,0,222,1959,2.6323529411764706,31.933771091385523,206.99615824141077,0.610603875769034,0,0,0,0.0,,107.66285085531695,107.14778204521464,-0.5150688101023064,0.9952159096103216
2024-10-17,70.04048582995951,,,,0,233,259,2,-26,1933,0.8996138996138996,19.38580239881017,226.38196064022094,0.5856899412241837,0,0,0,0.0,,107.61519836128443,106.98996902639894,-0.6252293348854892,0.994190139084384
2024-10-18,73.07692307692308,,,,0,313,180,1,133,2066,1.738888888888889,24.6534775635711,251.03543820379204,0.594635122480491,0,0,0,0.0,,108.0533821320502,107.30511757560026,-0.7482645564499393,0.9930750473359964
2024-10-21,61.53846153846154,,,,0,85,406,3,-321,1745,0.20935960591133004,-16.91734456242476,234.1180936413673,0.5179952983227717,0,0,0,0.0,,107.8974113648029,106.45716327249788,-1.4402480923050263,0.9866516900258568
2024-10-22,56.477732793522264,,,,0,183,309,2,-126,1619,0.5922330097087378,-32.638968652075945,201.47912498929134,0.49144182944812137,0,0,0,0.0,,107.89499717451184,106.03998025722632,-1.8550169172855249,0.9828072017622358
2024-10-23,51.012145748987855,,,,0,176,312,6,-136,1483,0.5641025641025641,-46.92990815445518,154.54921683483616,0.4676625400402662,0,0,0,0.0,,106.83798986394805,105.67936698037084,-1.158622883577209,0.9891553286892364
2024-10-24,50.0,,,,0,247,245,2,2,1485,1.0081632653061225,-44.94640055218476,109.60281628265139,0.4739116273648002,0,0,0,0.0,,107.23263082151273,105.69004569245138,-1.5425851290613508,0.9856145921512551
2024-10-25,41.70040485829959,,,,0,153,337,4,-184,1301,0.4540059347181009,-61.85168048065672,47.75113580199467,0.44451767656377894,0,0,0,0.0,,107.31187305878692,105.21515131527866,-2.0967217435082546,0.9804614188184038
2024-10-28,50.607287449392715,,,,0,351,143,0,208,1509,2.4545454545454546,-36.32032305677307,11.430812745221601,0.4928828836957234,0,0,0,0.0,,107.60732218510952,105.7990804131527,-1.8082417719568298,0.9831959225892989
2024-10-29,44.12955465587044,,,,0,168,325,1,-157,1352,0.5169230769230769,-51.25273068212537,-39.821917936903766,0.46522613958287384,0,0,0,0.0,,107.91930217459154,105.5327179485315,-2.3865842260600374,0.9778854738867842
2024-10-30,43.522267206477736,,,,0,234,257,3,-23,1329,0.9105058365758755,-50.200922511953706,-90.02284044885747,0.46729018900513225,0,0,0,0.0,,107.72123629004788,105.39573538280567,-2.3255009072422155,0.9784118620679341
2024-10-31,33.40080971659919,,,,0,132,361,1,-229,1100,0.3656509695290859,-69.90082434304696,-159.92366479190443,0.43100987804089463,0,0,0,0.0,,105.66350859009431,104.20189797334058,-1.461610616753731,0.986167309450003
2024-11-01,34.81781376518219,,,,0,242,251,1,-9,1091,0.9641434262948207,-64.12752980918367,-224.0511946010881,0.44189393857043135,0,0,0,0.0,,106.10851141692548,104.24278055531589,-1.8657308616095918,0.982416765283996
2024-11-04,33.80566801619433,,,,0,262,230,2,32,1123,1.1391304347826088,-54.72092776283445,-278.77212236392256,0.45837146341276236,0,0,0,0.0,,105.78123494288823,104.35711137881675,-1.424123564071479,0.9865370869905199
2024-11-05,47.57085020242915,,,,0,439,55,0,384,1507,7.9818181818181815,-10.77714801001921,-289.5492703739418,0.5366064641761393,0,0,0,0.0,,107.12314356706487,105.72844753759043,-1.3946960294744457,0.9869804415457497
2024-11-06,62.550607287449395,,,,0,341,152,1,189,1696,2.2434210526315788,7.1118273134247545,-282.437443060517,0.5648023015949715,0,0,0,0.0,,110.03013095612648,108.29766432706178,-1.732466629064703,0.9842546163127307
2024-11-07,63.56275303643725,,,,0,271,223,0,48,1744,1.2152466367713004,8.100087017673474,-274.33735604284357,0.5618533369325069,0,0,0,0.0,,111.08786498293158,108.67018214258583,-2.4176828403457478,0.9782363011412883
2024-11-08,65.78947368421052,,,,0,325,168,1,157,1901,1.9345238095238095,19.936937293685375,-254.40041874915818,0.5795580409311328,0,0,0,0.0,,111.5459197535624,109.37812508146547,-2.1677946720969317,0.9805658989868368
2024-11-11,67.00404858299595,,,,0,308,186,0,122,2023,1.6559139784946237,26.415249471749647,-227.98516927740854,0.5875441755575664,0,0,0,0.0,,111.83221206017967,109.99638106042484,-1.8358309997548332,0.9835840589581925
2024-11-12,65.78947368421052,,,,0,148,345,1,-197,1826,0.4289855072463768,-0.465319256076711,-228.45048853348527,0.5353002963210257,0,0,0,0.0,,111.53507317583619,109.2331454196882,-2.3019277561479896,0.9793614000457149
2024-11-13,64.77732793522267,,,,0,255,235,4,20,1846,1.0851063829787233,-1.4823161690514297,-229.9328047025367,0.5325926357654404,0,0,0,0.0,,111.45901769501924,109.22946679455859,-2.2295509004606515,0.9799966754905262
2024-11-14,62.14574898785425,,,,0,139,355,0,-216,1630,0.39154929577464787,-26.23107662491291,-256.16388132744964,0.48691697802965545,0,0,0,0.0,,110.6607029598394,108.400648307747,-2.2600546520923928,0.979576718820297
2024-11-15,57.28744939271255,58.097165991902834,,,0,178,314,2,-136,1494,0.5668789808917197,-39.16294543964708,-295.32682676709675,0.4641663670944779,0,0,0,0.0,,109.16825221492283,107.59586716335023,-1.5723850515725957,0.9855966820053417
2024-11-18,60.526315789473685,60.32388663967611,,,0,326,167,1,159,1653,1.9520958083832336,-20.165578953904856,-315.4924057210016,0.5000011378938223,0,0,0,0.0,,109.7449758835218,108.19031823703769,-1.5546576464841166,0.9858339059809521
2024-11-19,58.097165991902834,56.68016194331984,,,0,203,291,0,-88,1565,0.697594501718213,-28.822002713825736,-344.3144084348273,0.4838065990202307,0,0,0,0.0,,110.38568890638848,108.12707783917952,-2.2586110672089603,0.9795389140604598
2024-11-20,58.29959514170041,59.51417004048583,,,0,301,192,1,109,1674,1.5677083333333333,-16.13986375992823,-360.45427219475556,0.506850429624334,0,0,0,0.0,,110.32930619020017,108.47485316068905,-1.8544530295111201,0.9831916551136997
2024-11-21,70.24291497975709,64.5748987854251,,,0,429,65,0,364,2038,6.6,20.593780963644065,-339.8604912311115,0.5725905428983785,0,0,0,0.0,,110.65585918512033,109.87080624710977,-0.7850529380105655,0.9929054553117045
2024-11-22,75.50607287449392,66.59919028340082,,,0,368,123,3,245,2283,2.991869918699187,39.85354388452468,-300.0069473465868,0.6047542323769551,0,0,0,0.0,,111.00969269661694,110.80583128282531,-0.20386141379162837,0.9981635710464601
2024-11-25,83.40080971659918,71.4574898785425,,,0,372,121,1,251,2534,3.074380165289256,56.72866091184771,-243.27828643473907,0.6319923527672044,0,0,0,0.0,,111.3508228647782,111.79702728939722,0.446204424619026,1.0040071946766023
2024-11-26,81.37651821862349,72.2672064777328,,,0,276,217,1,59,2593,1.271889400921659,51.44004428508288,-191.8382421496562,0.6188733301176629,0,0,0,0.0,,112.0435147746811,111.78667176733119,-0.2568430073499144,0.9977076494979078
2024-11-27,81.57894736842105,72.8744939271255,,,0,254,237,3,17,2610,1.0717299578059072,42.41006470202453,-149.42817744763167,0.6004075626346884,0,0,0,0.0,,111.56810682342359,111.66677424835171,0.09866742492812364,1.000884369446945
2024-11-29,85.02024291497976,73.48178137651821,,,0,300,192,2,108,2718,1.5625,43.687908150788985,-105.74026929684268,0.6021072962576497,0,0,0,0.0,,112.21916046352527,112.00904520734805,-0.21011525617721816,0.9981276347523067
2024-12-02,83.19838056680162,71.05263157894737,,,0,180,312,2,-132,2586,0.5769230769230769,20.27052678302016,-85.46974251382252,0.5591520893992743,0,0,0,0.0,,112.62535354050999,111.78539603840123,-0.83995750210876,0.9925420211728202
2024-12-03,73.07692307692308,67.00404858299595,,,0,164,328,2,-164,2422,0.5,-3.0915533170984304,-88.56129583092095,0.5180941337509213,0,0,0,0.0,,112.77433247784198,111.40049091962845,-1.3738415582135275,0.9878177815108463
2024-12-04,62.34817813765182,66.19433198380567,,,0,244,249,1,-5,2417,0.9799196787148594,-6.957556627207445,-95.5188524581284,0.5138822923571524,0,0,0,0.0,,113.6154259340627,111.50518474912833,-2.1102411849343667,0.9814264553639128
2024-12-05,54.25101214574899,62.550607287449395,,,0,181,312,1,-131,2286,0.5801282051282052,-22.98123811146158,-118.50009056958999,0.4872018681889517,0,0,0,0.0,,113.38745369238129,110.92100449183322,-2.4664492005480696,0.9782476004158316
