bucket,count,pct
<-30%,83,16.80161943319838
-30~-20%,87,17.611336032388664
-20~-10%,176,35.62753036437247
-10~-5%,101,20.445344129554655
-5~0%,37,7.489878542510121
at 52w high,10,2.0242914979757085
