horizon,days,n,pct_positive,mean_ret,median_ret,mean_minus_median,pct_beat_index,p10,p90,dispersion_p90_p10,index_ret
1W,5,496,40.12096774193548,-0.271097036205658,-0.9393196550146532,0.6682226188089951,25.201612903225808,-6.230055702858967,6.022140786754071,12.252196489613038,2.3267674709419817
1M,21,496,21.975806451612904,-3.809773601603289,-4.264563844579983,0.4547902429766937,17.741935483870968,-12.427561461318358,5.267214846754964,17.694776308073322,1.321112625094556
3M,63,496,48.79032258064516,2.865352188074083,-0.2366081831550293,3.1019603712291124,35.28225806451613,-16.294264875794433,22.549996707743304,38.84426158353774,5.365308156501136
6M,126,496,63.50806451612904,11.586694223425804,5.956137194257738,5.630557029168067,29.03225806451613,-15.529483703828129,36.11908832110411,51.648572024932236,18.630200954461774
12M,252,495,60.0,21.138758744957414,7.74154594516312,13.397212799794294,35.95959595959596,-29.0429318815623,57.043744545685605,86.0866764272479,18.897870096399316
