Date,basic-materials,communication-services,consumer-cyclical,consumer-defensive,energy,financial-services,healthcare,industrials,real-estate,technology,utilities
2024-09-16,100.0,100.0,100.0,100.00000000000001,100.00000000000001,100.0,100.0,100.0,100.0,100.0,100.0
2024-09-17,100.15691461373939,100.58788800737543,100.64580379708106,98.9384890443703,101.44583755576735,100.47487686048761,98.96331757638664,100.48952682327725,99.12815243484393,99.92081254339543,99.91682210103366
2024-09-18,99.85321194337767,100.69385355918072,100.48336771471013,98.61003053780942,101.6737549615442,100.17025169656515,98.7908899015701,100.41247545193822,98.89712585779505,99.4172952677091,99.14220017182132
2024-09-19,101.42612886521124,102.51661207157586,103.03060136639739,97.97016776836234,102.94900612420665,101.41720404414305,99.15377715978454,102.25858270284384,98.6441873600229,102.4039308638882,98.63307655442249
2024-09-20,101.05675339089215,103.10495503490986,102.99958167638754,98.46665917097674,102.67542410606261,101.29480246839569,98.84589911920034,101.64843566947904,98.48621421951808,101.93948039312444,101.45081443506349
2024-09-23,101.82839556126105,102.6993246297492,104.4888453380493,99.13836936466971,104.06840379402219,101.45205248416225,98.591905668021,102.33864120015484,99.6250672603342,101.89441113536171,102.42748520482671
2024-09-24,103.01582080958741,103.06507212453144,105.31676709479534,98.8451972204534,103.78157854635386,100.44814858931944,98.36490641812225,102.89259012602774,99.6548397333682,102.68358163387222,101.64505139821217
2024-09-25,102.49360325087098,102.9407389421018,105.00017029721127,98.896323777367,101.79755852697743,99.85415011170058,97.46996094706824,102.43851374316938,99.2827338584697,103.14929452184893,102.22082935755371
2024-09-26,104.33079360801364,103.3218775194631,105.01086797268843,98.76631480293193,99.6310995109156,100.42765070270822,97.75137335725996,102.98120731009216,98.25835668401558,104.03949179603539,101.50208341549482
2024-09-27,103.98889578742805,103.92172811310928,104.98082626634128,98.73466549418893,101.73019950036996,100.81277246605752,97.63077059418049,103.18095735933139,98.47776480476486,103.06389996284362,102.50885245468157
2024-09-30,103.43427356488289,104.8757222063587,104.72491156886275,98.94326157130433,102.53285155172841,100.9733522444411,98.24973176512971,103.68341291452974,99.3200758014281,103.64921097033614,102.94633008401972
2024-10-01,103.0577853418215,105.3985023950965,104.14505259538157,98.75696258782918,104.7968995848676,100.49185418773313,97.75057988194291,103.64236438612183,98.73813298591385,100.99848672468116,103.78016312663993
2024-10-02,102.76200122796259,104.89890575790336,103.21832594081182,97.95440837746241,106.00963708081984,100.69713484627526,97.577550041808,103.51418662344234,98.33674137194909,101.56415389659881,103.83650083427536
2024-10-03,101.6244392663785,105.1518890491825,101.7642434286147,97.19279498099847,107.77832209172583,100.27627714018381,96.6874929494908,102.98009753745231,97.38708905812129,102.1724803873849,103.83092531394965
2024-10-04,101.98339020375724,106.3024648129796,103.64666006950468,97.46741908831706,108.96510841655794,101.94684560495703,96.78492675131633,103.75576514280546,96.73877162327987,103.23918969480962,103.71546560524786
2024-10-07,101.95238403525971,104.0948404026466,101.49940049508349,96.2571436785368,109.37906962422028,100.77941465980717,96.33042439890407,103.50508625648231,96.05213148017899,102.54388285595238,101.37546160836871
2024-10-08,101.74548774213982,105.16233331279903,102.60182749459642,96.90067861139711,106.60052910449612,101.3689875180783,96.89861368909244,103.61944955943704,96.33066003886542,104.72981093689582,101.4294721819427
2024-10-09,102.43366648668604,104.27490823935177,103.2356253620493,97.66770331089938,107.13663592871882,102.34031689155341,97.88580898616053,104.43735399398247,96.45107715864219,105.82560147764435,100.47899317232877
2024-10-10,102.71708408749976,103.9577109985917,103.02178794510681,97.12233920297302,107.99957255176909,101.98572966895202,97.54636517848041,103.78409439508134,95.59751277761242,105.93981782353264,100.17202751015327
2024-10-11,103.44710650010883,104.7267694283282,102.29545968306819,97.62610656509734,108.6312908008735,104.11169830511136,98.31366759058007,105.37921784362007,96.61309632603972,106.04849591500418,101.06620253649069
2024-10-14,104.01029041385225,105.44612274552104,102.46920448428494,98.02200808960616,108.52113475686204,104.91665069405138,98.77759322979838,106.03715853140878,97.28201163146751,107.39647287046688,102.40133524949265
2024-10-15,104.17795226139866,105.50123202305377,102.68382905542583,98.7118856683909,105.20181174826834,105.14379191158271,97.63315128423379,105.25125843889654,98.49662278855949,105.5098956097326,102.84272225511936
2024-10-16,105.04982843515596,105.19811642607633,102.9915489161045,98.47033051447032,105.6873316283487,106.57170631949185,97.93592659693842,106.26571297502578,99.48820431583289,105.8692734897527,104.93628046949762
2024-10-17,105.37239686013501,104.30019213553565,102.94883743844434,98.07149412360526,106.20322243595201,107.045098073757,97.44771516280136,106.10797634410886,98.82238263211555,106.29698709725659,103.9394510956046
2024-10-18,105.86811177132094,105.01578056482944,103.40608520538453,98.34356849917,105.82205074012899,107.1924612169244,97.94801535900015,106.3891909880776,99.55738026484575,106.7564003245623,104.50596834413028
2024-10-21,104.96567468892157,105.17668616604952,102.80108729157263,97.56105026921135,105.59579186091305,106.15934252268424,96.81205632040448,105.970579145176,97.47718139517511,107.6938792201,104.15448954394586
2024-10-22,103.9690689721443,105.660077998873,102.61067529205975,98.51067849967826,105.8438670731601,106.04805272452258,96.65610565262489,104.59958453844614,97.63941767577212,107.83268764841854,103.73855367043362
2024-10-23,103.31442312482976,104.16010750142921,100.76719921764673,98.54993017342512,105.2969536610623,105.80823125103139,96.1965377274033,104.27423303843038,98.56381028915322,106.07004078891828,104.77049934247803
2024-10-24,101.9525553109716,104.43182232914228,104.71861063615052,98.30312824309036,105.1359438029234,106.14937089955275,95.46116334909,103.7390427394029,98.76072011686222,106.28473090616828,104.06056719430038
2024-10-25,101.36342362065716,105.4143123130154,105.45750020444203,97.56796670966335,105.24632797572445,104.98333664330845,94.9365354307303,103.4870975176752,98.1387493392954,106.85593229921615,102.55626793631487
2024-10-28,102.36266746710648,106.22039510815637,105.43092978012541,97.68947178949648,104.53003914952318,106.26447198696998,95.0588660352839,103.82947726068869,98.39613337541516,106.76662376544277,103.35999125267791
2024-10-29,101.88644938295927,107.95427134645278,105.30682642038914,96.70706471647411,103.12015903014147,105.76601478920593,94.8289991699607,103.5344547599488,97.59605901123197,107.96288512541814,101.18402590197188
2024-10-30,101.9182993058754,109.59155277262495,105.3102046020843,96.43028707384279,103.284149154536,106.227166898563,94.51169747449521,103.2717236689264,97.99157512769662,106.6805613817074,100.94248233013728
2024-10-31,100.04507925093087,107.60453564094635,103.55620861954726,96.27674278244031,103.93222852463609,104.67686503342517,93.73515853559277,102.40556032999817,96.3650133889357,102.84622661425082,102.03876805631087
2024-11-01,100.06681299734218,107.57414229966162,105.92285726570364,96.2590230513748,103.28340901840292,104.7522576270083,94.27734018300364,102.49074142309162,95.37138339635263,103.50487078844162,99.77881224615307
